"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"MVZ89748",1944,5,36.6038,-92.4382,"male",0.853847,154.45,13.9615,1083,68.3553,59.587,67,0.205780146070698,0.0623175606193397,0.0953331522056675,0.118785021910605,68,0.164267748847809,0.164267748847809,0.558044545580156
"MVZ59855",1931,6,24.142222,-110.3108333,"male",0.263222,185.632,22.7233,190,108.277,20.4792,67,0.187744250657318,0.0414092170610575,0.116158790534619,0.155735839906515,81,0.990207157249374,0.990207157249374,-0.486201314289432
"MVZ81124",1897,6,38.931138,-77.040303,"male",0.878024,139.278,12.9892,1046,63.6745,56.8162,66,0.167471933976045,0.0587819135261466,0.0900070931931055,0.106383391761613,115,0.0345858687262502,0.0345858687262491,0.555956994840749
"MVZ84143",1941,6,29.1068,-81.0237,"male",0.921404,159.823,21.3839,1262,93.4847,87.642,73,0.181853569967865,0.054052456909144,0.0843732515337423,0.0868908997955011,71,0.486489960182338,0.486489960182339,1.13402500966617
"MVZ153540",1942,6,31.02997,-94.274,"male",0.879948,156.953,18.7085,1274,82.6957,69.8487,75,0.222932290388548,0.0648930704060765,0.100164694712241,0.108504817411627,70,0.34491781244784,0.344917812447842,1.02274566653204
"MVZ153541",1942,6,31.04448,-94.274,"male",0.879948,156.953,18.7085,1278,82.6957,69.8487,75,0.182063236926673,0.0599752176453403,0.0999741776219691,0.116717639497517,70,0.34491781244784,0.344917812447842,1.02274566653204
"MVZ153542",1942,6,31.04448,-94.274,"male",0.879948,156.953,18.7085,1278,82.6957,69.8487,75,0.216917800175285,0.0601578498393222,0.104980946538124,0.104911749926965,70,0.34491781244784,0.344917812447842,1.02274566653204
"MVZ124538",1941,7,31.1899,-84.4794,"male",0.869219,159.031,19.3285,1334,86.3163,77.0082,75,0.180125591586328,0.057406482617587,0.0796216914986854,0.137384227286006,71,0.39628855356103,0.396288553561031,1.04138124457014
"MVZ124540",1951,7,31.4579,-83.5258,"male",0.866747,157.789,18.862,1206,84.59,76.9493,75,0.1632632427695,0.0535051329243354,0.129062597137014,0.118112576687117,61,0.378271969072886,0.378271969072887,1.03529867894213
"MVZ150085",1963,7,32.6860419,-108.7374593,"male",0.316569,180.829,14.1436,309,69.0892,26.7175,43,0.207698924919661,0.0485019602687701,0.104740321355536,0.165623435582822,49,0.714910524592217,0.714910524592215,-0.93713588387753
"MVZ74822",1936,4,28.778293,-112.280146,"female",0.167219,192.247711,22.716682,118,110.524696,16.777,50,0.242975255623722,0.227167657026001,0.117933502775343,0.107448060181128,76,0.891595675216223,0.891595675216219,-0.963786276341895
"MVZ74874",1938,5,29.40194,-112.095133255,"female",0.197251,192.124,21.903,164,111.132698,18.612,43,0.300152553315805,0.159513356704645,0.1275325942156,0.109847484662577,74,1.32669955497171,1.32669955497171,-0.880784640750642
"MVZ74819",1936,4,28.990021,-112.14756,"male",0.17706,192.25,23.0143,123,110.524696,16.777,47,0.176531513292434,0.0705356266432954,0.09889146654981,0.147103567046451,76,1.30898966486338,1.30898966486338,-0.833010990000987
"MVZ59851",1931,5,23.15,-110.083333,"male",0.26517,185.873,22.5917,303,99.705299,33.968201,69,0.201837616126205,0.0625316739702016,0.110964431784984,0.177042711072159,81,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ74873",1938,5,29.40194,-112.095133255,"male",0.197251,192.124,21.903,164,111.132698,18.612,43,0.202614303242769,0.0542898597721297,0.109744872918492,0.132024577855682,74,1.32669955497171,1.32669955497171,-0.880784640750642
"MVZ74875",1938,5,29.40194,-112.095133255,"male",0.197251,192.124,21.903,164,111.132698,18.612,43,0.187122506573181,0.054392047911189,0.114149950335963,0.128018644463921,74,1.32669955497171,1.32669955497171,-0.880784640750642
