.draw,method,effect,estimate
151,GAM bootstrap,Total effect,6.816257547253126
151,GAM bootstrap,Controlled direct effect,1.9845495755733609
151,GAM bootstrap,Indirect effect,4.831707971679765
152,GAM bootstrap,Total effect,6.254175874090809
152,GAM bootstrap,Controlled direct effect,2.0722535480994395
152,GAM bootstrap,Indirect effect,4.181922325991369
153,GAM bootstrap,Total effect,5.08047895217718
153,GAM bootstrap,Controlled direct effect,2.3031792121166452
153,GAM bootstrap,Indirect effect,2.777299740060535
154,GAM bootstrap,Total effect,5.795748525805719
154,GAM bootstrap,Controlled direct effect,2.2686876476241395
154,GAM bootstrap,Indirect effect,3.527060878181579
155,GAM bootstrap,Total effect,5.646936401688891
155,GAM bootstrap,Controlled direct effect,2.1868599149989807
155,GAM bootstrap,Indirect effect,3.4600764866899105
156,GAM bootstrap,Total effect,6.616549674844962
156,GAM bootstrap,Controlled direct effect,2.249393964575972
156,GAM bootstrap,Indirect effect,4.367155710268991
157,GAM bootstrap,Total effect,5.052864953797536
157,GAM bootstrap,Controlled direct effect,1.801777353113502
157,GAM bootstrap,Indirect effect,3.2510876006840337
158,GAM bootstrap,Total effect,5.594638473257791
158,GAM bootstrap,Controlled direct effect,1.8508899318418321
158,GAM bootstrap,Indirect effect,3.743748541415959
159,GAM bootstrap,Total effect,6.241945889609998
159,GAM bootstrap,Controlled direct effect,2.1033020620058047
159,GAM bootstrap,Indirect effect,4.138643827604193
160,GAM bootstrap,Total effect,6.218511103887076
160,GAM bootstrap,Controlled direct effect,2.1098670519331475
160,GAM bootstrap,Indirect effect,4.108644051953929
161,GAM bootstrap,Total effect,4.813340926593787
161,GAM bootstrap,Controlled direct effect,2.2075061351777787
161,GAM bootstrap,Indirect effect,2.605834791416008
162,GAM bootstrap,Total effect,6.753479296933711
162,GAM bootstrap,Controlled direct effect,1.9942065108837954
162,GAM bootstrap,Indirect effect,4.759272786049916
163,GAM bootstrap,Total effect,6.10999286626755
163,GAM bootstrap,Controlled direct effect,2.2997943437014037
163,GAM bootstrap,Indirect effect,3.8101985225661466
164,GAM bootstrap,Total effect,5.985571343757477
164,GAM bootstrap,Controlled direct effect,1.805246723441098
164,GAM bootstrap,Indirect effect,4.180324620316378
165,GAM bootstrap,Total effect,5.537427515967566
165,GAM bootstrap,Controlled direct effect,2.316874008352815
165,GAM bootstrap,Indirect effect,3.2205535076147505
166,GAM bootstrap,Total effect,5.177308203010169
166,GAM bootstrap,Controlled direct effect,2.184671289617696
166,GAM bootstrap,Indirect effect,2.992636913392473
167,GAM bootstrap,Total effect,6.394743651767194
167,GAM bootstrap,Controlled direct effect,2.425181324677509
167,GAM bootstrap,Indirect effect,3.969562327089685
168,GAM bootstrap,Total effect,5.805373696009402
168,GAM bootstrap,Controlled direct effect,1.843291190368253
168,GAM bootstrap,Indirect effect,3.9620825056411486
169,GAM bootstrap,Total effect,5.649143714303596
169,GAM bootstrap,Controlled direct effect,1.832441679819906
169,GAM bootstrap,Indirect effect,3.8167020344836904
170,GAM bootstrap,Total effect,6.027104967555778
170,GAM bootstrap,Controlled direct effect,2.238901298941861
170,GAM bootstrap,Indirect effect,3.7882036686139173
171,GAM bootstrap,Total effect,5.758564776442981
171,GAM bootstrap,Controlled direct effect,2.3642576049877952
171,GAM bootstrap,Indirect effect,3.3943071714551856
172,GAM bootstrap,Total effect,6.425981720078614
172,GAM bootstrap,Controlled direct effect,1.7407445079776873
172,GAM bootstrap,Indirect effect,4.685237212100926
173,GAM bootstrap,Total effect,5.361713338937067
173,GAM bootstrap,Controlled direct effect,2.0743428916254665
173,GAM bootstrap,Indirect effect,3.2873704473116003
174,GAM bootstrap,Total effect,5.9867658234876355
174,GAM bootstrap,Controlled direct effect,2.1589798390224244
174,GAM bootstrap,Indirect effect,3.827785984465211
175,GAM bootstrap,Total effect,6.483389723139072
175,GAM bootstrap,Controlled direct effect,2.025949311168896
175,GAM bootstrap,Indirect effect,4.457440411970175
176,GAM bootstrap,Total effect,5.767142989829132
176,GAM bootstrap,Controlled direct effect,2.30291074640868
176,GAM bootstrap,Indirect effect,3.464232243420452
